price,district,room_type,bathroom_type,accommodates,bathrooms,bedrooms,beds,reviews,review_scores,host_response_rate,host_acceptance_rate,host_total_listings
150,Central & Western,Private room,Private bathroom,1,1,1,1,0,80,0.96,0.77,266
997,Central & Western,Entire home/apt,Private bathroom,2,1,1,1,11,96,1,0.88,1
759,Central & Western,Entire home/apt,Private bathroom,3,1,1,1,130,95,1,0.98,16
214,Central & Western,Entire home/apt,Private bathroom,1,1,1,1,0,60,0.96,0.77,266
230,Central & Western,Private room,Private bathroom,1,1,1,1,0,40,0.96,0.77,266
262,Central & Western,Private room,Shared bathroom,1,1.5,1,1,5,100,1,1,3
292,Central & Western,Private room,Shared bathroom,1,1.5,1,1,47,99,1,1,3
380,Central & Western,Entire home/apt,Private bathroom,1,1,1,1,67,94,1,0.97,4
797,Central & Western,Private room,Private bathroom,2,1,1,1,9,95,0.5,0,2
1400,Central & Western,Entire home/apt,Private bathroom,4,1,2,2,10,96,0.33,0.9,1
1756,Central & Western,Private room,Private bathroom,5,1.5,2,2,2,80,0.99,1,3
797,Central & Western,Entire home/apt,Private bathroom,4,1.5,2,2,7,91,1,1,3
210,Central & Western,Private room,Private bathroom,1,1,1,1,0,73,0.95,0.77,230
260,Central & Western,Private room,Shared bathroom,1,1,1,1,0,95,0.96,0.77,266
2839,Central & Western,Entire home/apt,Private bathroom,6,1,2,3,85,91,0,1,5
500,Central & Western,Entire home/apt,Private bathroom,2,1,1,1,30,95,0.9,0.76,2
660,Central & Western,Entire home/apt,Private bathroom,3,1,2,1,1,100,0.98,0.73,101
250,Central & Western,Entire home/apt,Private bathroom,2,1,1,1,112,94,1,1,1
520,Central & Western,Entire home/apt,Private bathroom,2,1,1,1,184,96,0.92,0.98,5
600,Central & Western,Entire home/apt,Private bathroom,2,1,1,1,137,94,0.91,0.99,5
570,Central & Western,Entire home/apt,Private bathroom,2,1,1,1,1,80,0.98,0.73,101
270,Central & Western,Private room,Private bathroom,1,1,1,1,0,95,0.94,1,1
3500,Central & Western,Entire home/apt,Private bathroom,6,2,2,2,49,97,0.9,0.57,1
599,Central & Western,Private room,Private bathroom,1,1,1,1,12,97,1,0.9,1
591,Central & Western,Entire home/apt,Private bathroom,1,1,1,1,22,97,0.5,1,0
920,Central & Western,Entire home/apt,Private bathroom,4,1,1,2,203,98,0.92,0.98,5
247,Central & Western,Private room,Private bathroom,1,1,1,1,0,80,0.96,0.77,266
685,Central & Western,Entire home/apt,Private bathroom,4,1,1,2,8,94,1,0.98,1
164,Central & Western,Private room,Private bathroom,1,1,1,1,0,40,0.96,0.77,266
214,Central & Western,Private room,Private bathroom,1,1,1,1,0,50,0.96,0.77,266
247,Central & Western,Private room,Private bathroom,1,1,1,1,0,60,0.96,0.77,266
1331,Central & Western,Entire home/apt,Private bathroom,3,1,1,1,33,90,0.83,0,1
300,Central & Western,Private room,Private bathroom,2,1,1,1,0,89,1,0.73,1
1850,Central & Western,Entire home/apt,Private bathroom,2,1,1,2,63,97,0,1,2
300,Central & Western,Private room,Private bathroom,2,1,1,1,0,89,0,1,1
371,Central & Western,Private room,Private bathroom,1,1,1,1,5,100,1,1,2
826,Central & Western,Entire home/apt,Private bathroom,2,1,1,1,8,100,1,0,1
759,Central & Western,Entire home/apt,Private bathroom,3,1,2,1,6,93,1,0.98,16
850,Central & Western,Entire home/apt,Private bathroom,4,1,2,3,8,100,0.25,0,2
224,Central & Western,Private room,Shared bathroom,1,1,1,0,0,40,0.96,0.77,266
300,Central & Western,Private room,Shared bathroom,2,1,1,1,1,100,1,0.75,3
576,Central & Western,Entire home/apt,Private bathroom,2,1,1,1,0,96,0.98,0.73,101
660,Central & Western,Entire home/apt,Private bathroom,2,1,1,1,0,70,0.98,0.73,101
527,Central & Western,Entire home/apt,Private bathroom,2,1,1,1,0,99,0.98,0.73,101
558,Central & Western,Entire home/apt,Private bathroom,2,1,1,1,1,60,0.98,0.73,101
594,Central & Western,Entire home/apt,Private bathroom,2,1,1,1,2,90,0.98,0.73,101
570,Central & Western,Entire home/apt,Private bathroom,2,1,1,1,0,91,0.98,0.73,101
558,Central & Western,Entire home/apt,Private bathroom,2,1,1,1,1,80,0.98,0.73,101
